132423-N-184745	жаропонижать средство
4654-N-121938	социальный психологический работа
4654-N-117681	социальный психологический помощь
4654-N-192417	социальный психологический поддержка
4654-N-110246	психологический служба
4654-N-110245	психологический помощь
4654-N-117673	психологический помощь
4654-N-120922	психологический поддержка
126757-N-119846	цирроз
126757-N-173882	цирроз печень
5179-N-110639	реанимобиль
5179-N-216386	автомобиль реанимация
5179-N-216387	машина реанимация
5179-N-110637	реанимациоть автомобиль
129454-N-178819	фистул
129454-N-160289	свищ
137615-N-217689	томографический сканнер
137615-N-201949	томограф
9331-N-686101	санврач
9331-N-119300	санитарный врач
9331-N-217343	санитарный инспектор
6481-N-124780	врождать аномалия
6481-N-215146	врождать нарушение
6481-N-123570	врождать патология
118096-N-734877	рубцеваний рана
118096-N-151999	рубцевание
131335-N-182692	заикание
9527-N-119877	клизма
148028-N-715885	трава зверобой
148028-N-138708	зверобой
148028-N-715886	зверобой трава
136989-N-199355	климатолечений
136989-N-199354	климатотерапия
146041-N-703254	растительный чай
146041-N-703252	фиточай
146041-N-715832	настой трава
146041-N-703253	лечебный чай
146041-N-114225	чай
146041-N-703251	травяной чай
148008-N-116658	лечебный трава
148008-N-715856	трава растение
148008-N-105724	лекарственный трава
148008-N-214924	целебный трава
140415-N-719788	осложнить течение
140415-N-162543	осложнение
140415-N-719782	осложнение заболевание
140415-N-209744	осложнение болезнь
134853-N-116740	протезный изделие
134853-N-110089	протез
149466-N-726556	тяжелый больной
149466-N-726555	тяжелобольной человек
4955-N-108264	острый кишечный инфекция
4955-N-115808	острый кишечный заболевание
4955-N-104872	кишечный инфекционный заболевание
4955-N-104871	кишечный инфекция
1048-N-715178	патогенный агент
1048-N-715177	биоагенть
1048-N-715176	биологический агент
1048-N-180252	возбудитель
1048-N-101905	возбудитель болезнь
1048-N-101906	возбудитель заболевание
1048-N-108563	патоген
116668-N-119542	кашель
113555-N-123020	очко
113842-N-136847	диабетик
113842-N-671147	больной диабет
113842-N-671146	диабетический больной
113842-N-671148	больной сахарный диабет
123782-N-167271	горчичник
5414-N-117532	профилактика беременность
5414-N-105277	контрацепция
5414-N-109611	предупреждение беременность
4625-N-118767	протезно-ортопедический продукция
4625-N-110082	протезно-ортопедический изделие
8968-N-116453	роженица
8968-N-191132	родильница
120814-N-753408	самолечений
132709-N-185825	коронка
132709-N-759836	стоматологические коронка
132709-N-185824	зубной коронка
132709-N-759835	коронка на зуб
9862-N-121666	аденома
2983-N-105870	лечебный кабинет
2983-N-111667	смотровой кабинет
2983-N-106304	медицинский кабинет
2983-N-173251	диагностический кабинет
8523-N-115553	наркологический диспансер
8523-N-115555	наркодиспансер
8523-N-202667	наркоклиник
8523-N-202666	наркобольница
9491-N-119965	шизофрения
9491-N-217331	шизофренический психоз
10085-N-197155	хиропрактика
10085-N-122190	мануальный терапия
109069-N-140838	крапивница
110959-N-153332	смола
110959-N-672188	смола дерево
110959-N-672186	натуральный смола
110959-N-672187	природный смола
153553-N-749628	расщепление личность
153553-N-749630	раздвоение сознание
153553-N-749627	раздвоение личность
153553-N-749629	множественный личность
9767-N-704546	рентгеновский просвечиваний
9767-N-704539	рентгеновский диагностика
9767-N-704547	радиография
9767-N-191031	рентген
9767-N-704542	радиодиагностика
9767-N-704543	рентгенографирование
9767-N-121423	рентгенография
9767-N-121422	рентгенодиагностика
9767-N-704541	рентгенологический диагностика
9767-N-124282	рентгенологический исследование
9767-N-121424	рентгеноскопия
9767-N-704545	радиографический исследование
9767-N-121785	лучевой диагностика
9767-N-704544	рентгеносъемка
109834-N-143751	нокдаун
115365-N-142030	медбрат
1058-N-114757	эпидемиология
112643-N-139869	катар желудок
112643-N-135895	гастрит
9007-N-117476	травматология
7391-N-104370	инфаркт миокард
120933-N-753900	тампонирований
120933-N-163117	тампонад
126847-N-173471	нокаут
108187-N-144479	овод
9414-N-119742	кист
5388-N-122264	амбулаторный долечивание
5388-N-123920	амбулаторный операция
5388-N-100416	амбулаторный лечение
5388-N-105873	лечение в амбулаторный условие
5388-N-122058	амбулаторный помощь
5388-N-122250	амбулаторно-медицинский помощь
5388-N-179893	амбулаторный прием
5388-N-122329	амбулаторный медицинский помощь
5388-N-125244	амбулаторный наблюдение
5388-N-100414	амбулаторно поликлинический помощь
2588-N-111154	санитарный обслуживание
2588-N-121909	санитарный гигиенический помощь
2588-N-121907	санитарный гигиенический мера
2588-N-117840	санитарный профилактический мероприятие
2588-N-111155	санитарный мероприятие
2588-N-217246	санитарный мера
143376-N-673813	фармацевт аптека
143376-N-113590	фармацевт
143376-N-673812	аптечный фармацевт
136973-N-691985	боязнь радиация
136973-N-199279	радиофобие
136973-N-691984	страх перед радиация
8489-N-115440	анаша
8489-N-203142	масло каннабис
8489-N-203143	гашишный масло
8489-N-115412	гашиш
8489-N-203136	смола каннабис
130761-N-181508	олигофрен
130761-N-690912	имбецил
130761-N-181509	даун
130761-N-181510	дебил
130761-N-191268	дебилка
1047-N-106291	медицинский сфера
1047-N-106274	медицина
135540-N-179880	частный медицинский практика
151862-N-739408	сбивание высокий температура
151862-N-739409	сбиваний температура
145284-N-691418	медицинский образование
126826-N-173431	воздушный гимнаст
126826-N-173432	воздушный гимнастка
126826-N-748255	воздушный акробат
125899-N-196363	выхаживание
10199-N-123831	болезнь печень
10199-N-206195	гепатопатия
10199-N-123036	заболевание печень
10199-N-121352	печеночный недостаточность
8215-N-108227	ортопедия
144031-N-680298	аутизм
144031-N-714685	аутистический мышление
3949-N-188706	психический нездоровье
3949-N-188703	психический нарушение
3949-N-110238	психический заболевание
3949-N-188707	психический недуг
3949-N-188704	психический недостаток
3949-N-188709	психический отклонение
3949-N-122221	психический болезнь
3949-N-165265	психзаболевание
3949-N-679012	отклонение в психика
3949-N-107564	нервно-психический расстройство
3949-N-118804	нервно-психический отклонение
3949-N-118991	нервный расстройство
3949-N-760473	душевный расстройство
3949-N-103477	душевный заболевание
3949-N-103475	душевный болезнь
3949-N-688926	психопатология
3949-N-669629	расстройство психика
3949-N-105825	психоневрологический расстройство
3949-N-110256	психоневрологический заболевание
3949-N-115532	психологический расстройство
3949-N-110241	психический расстройство
3907-N-110259	психотропный вещество
3907-N-165267	психотропный препарат
3907-N-754802	психоактивный вещество
3907-N-689443	психотропный средство
125596-N-170616	вживлений
111906-N-671142	аллергический больной
111906-N-132885	аллергик
3017-N-101084	больничный койка
3017-N-104947	койка больница
3017-N-120983	койко-место
110168-N-101156	брюшной тиф
137523-N-201499	энтерит
4688-N-112120	стерилизация
142950-N-670337	валидол
124584-N-116700	сексология
147994-N-715833	жидкий лекарственный форма
147994-N-726693	жидкий лекарство
5801-N-113380	умственный расстройство
5801-N-122690	нарушение психика
5801-N-118414	нарушение интеллект
5654-N-102500	гнус
112988-N-146273	пенициллин
4888-N-118082	тренерский кадр
4888-N-191754	тренерш
4888-N-113118	тренер
8950-N-117229	антибиотикотерапия
8706-N-116269	глауком
144336-N-115857	шиповник
127565-N-175293	остеопороз
9596-N-120433	адреналин
8606-N-117670	кардиохирургический помощь
8606-N-123207	сосудистый хирургия
8606-N-121727	сердечно-сосудистый хирургия
8606-N-122178	коронарный хирургия
8606-N-115922	кардиохирургия
8687-N-116165	загазованность
154755-N-759710	упражнение с булава
5802-N-213471	проблема в развитие
5802-N-213472	отклонение в развитие
5802-N-115581	нарушение умственный развитие
5802-N-213470	нарушение интеллектуальный развитие
5802-N-108061	олигофрение
5802-N-213983	малоумий
5802-N-217540	умственный неполноценность
5802-N-201826	имбецильность
5802-N-113379	умственный отсталость
5802-N-217552	идиотие
5802-N-213982	задержка умственный развитие
5802-N-756031	задержка в развитие
5802-N-119859	дебильность
108863-N-120976	гайморит
7394-N-700683	полиартрит
7394-N-100552	артрит
125515-N-170443	валерьянка
125515-N-187060	настойка валерьяна
125515-N-170442	валерьяновый капля
125515-N-176606	валериановый капля
9598-N-120440	бронхит
1063-N-121807	врачебный обследование
1063-N-120215	амбулаторный обследование
1063-N-122227	врачебный осмотр
1063-N-122216	врачебный прием
1063-N-120041	клинический обследование
1063-N-121823	лечебть -диагностический работа
1063-N-121822	лечебно -диагностический процесс
1063-N-116945	лечебть -диагностический мероприятие
1063-N-106305	медицинский осмотр
1063-N-106321	медицинский обследование
1063-N-678384	медобследование
1063-N-707499	медосвидетельствование
1063-N-120462	медосмотр
5390-N-144786	операция
5390-N-689871	оперативный лечение
5390-N-113988	хирургический операция
5390-N-113990	хирургический лечение
5390-N-120132	хирургический вмешательство
5390-N-749313	оперирование
5390-N-120094	хирургический метод
5390-N-170749	оперативный вмешательство
5390-N-122245	хирургический коррекция
5390-N-120121	хирургический помощь
9278-N-119598	ампутация
1040-N-101087	больничный учреждение
1040-N-116226	лазарет
1040-N-184669	здание больница
1040-N-115499	горбольница
1040-N-101085	больничный здание
1040-N-105852	лечебница
1040-N-101083	больница
1040-N-200190	больничка
9987-N-122502	аэробика
9987-N-164952	ритмический гимнастика
5800-N-117565	офтальмолог
5800-N-108048	окуливать
5800-N-690878	глазной врач
5800-N-136044	глазник
136642-N-197315	визажист
136642-N-197316	визажистка
145536-N-699458	жим
145536-N-699459	силовой жим
9406-N-119745	колит
9406-N-714277	воспаление толстый кишка
10067-N-191329	инфекционистка
10067-N-122549	инфекционивать
111235-N-677385	больной паранойя
111235-N-146136	параноик
7506-N-114743	энцефалит
7506-N-102018	воспаление мозг
10134-N-123628	припадок
9232-N-118427	урология
111173-N-136779	дерматология
110392-N-188705	психический неполноценность
110392-N-119950	психоз
110392-N-188708	психический невменяемость
109936-N-140601	конъюнктивит
136466-N-714145	воздержание от употребление алкоголь
136466-N-196942	неупотребление алкоголь
136466-N-196929	трезвенность
136466-N-196941	воздержание от алкоголь
136466-N-714144	алкогольный воздержание
153162-N-115814	гипсований
153162-N-747058	наложение гипсовый повязка
136967-N-122662	сексопатология
147153-N-711954	нервный анорексия
147153-N-711953	анорексия
113027-N-143498	нейрохирург
111388-N-712020	резать боль
111388-N-692196	резкий боль
111388-N-151703	резь
109961-N-152991	сколиоз
7765-N-107454	невропатолог
142786-N-699417	травматический синдром
142786-N-699416	травматический невроз
142786-N-669633	посттравматический невроз
142786-N-669634	посттравматический синдром
142786-N-683869	посттравматический расстройство
8919-N-758895	вскрытие тело
8919-N-119250	патологоанатомический исследование
8919-N-116982	патолый анатомический вскрытие
8919-N-122259	патологоанатомический экспертиза
8919-N-194795	анатомирований
8919-N-164360	вскрытие
8919-N-199283	вскрытие труп
144550-N-684934	имплантант
144550-N-730135	имплантат
109339-N-154412	стрептококк
126894-N-153972	спортивный упражнение
126894-N-119468	физический упражнение
129165-N-106331	медицинский училище
129165-N-179890	медучилище
154733-N-751079	подтяжка
116748-N-116226	лазарет
116748-N-194084	военный лазарет
116748-N-709487	войсковой лазарет
116748-N-709488	лазарет часть
116748-N-709489	лазарет воинский часть
112399-N-155134	тонзиллить
9462-N-120010	патология дыхание
9462-N-214497	респираторный заболевание
9462-N-119822	болезнь орган дыхание
109688-N-135921	геморрой
9880-N-102904	дезинфекция
9880-N-122519	дезинфицирований
9880-N-107748	обеззараживаний
9880-N-120953	санитарный дезинфекционный мероприятие
142973-N-714593	дренаж рана
142973-N-103452	дренаж
142973-N-670595	медицинский дренаж
9464-N-119823	неврология
120477-N-161990	умопомешательство
120477-N-169971	безумие
120477-N-162974	полоумий
120477-N-754003	безумье
120477-N-161989	сумасшествие
120477-N-193840	помрачение ум
120477-N-193841	помрачение рассудок
120477-N-161991	помешательство
120477-N-748349	помрачение
8975-N-117296	дерматовенерология
111745-N-136893	диетолог
111745-N-209931	диетврач
137794-N-202517	боль в голова
137794-N-202516	головной боль
154068-N-753843	парагрипп
142301-N-186054	медицинский лаборатория
142301-N-724351	медлаборатория
108134-N-157785	шок
108134-N-721406	шоковый состояние
108134-N-721408	нервный шок
108134-N-153775	состояние шок
153971-N-753189	эндопротезирований
145566-N-163905	заразность
145566-N-699804	носитель инфекция
145566-N-702099	носитель
137738-N-140316	колесо
137738-N-713608	акробатический колесо
8802-N-116593	почечный недостаточность
8802-N-119723	почечный колик
4999-N-122298	дератизационный мероприятие
4999-N-116948	дератизациоть средство
4999-N-103048	дератизация
4999-N-116949	дератизациоть работа
137714-N-713792	парамедик
609-N-179858	количество рождаться
609-N-700119	деторождаемость
609-N-110890	рождаемость
609-N-179857	число рождаться
136951-N-199195	эвтаназие
138980-N-205592	маммограф
5137-N-100006	аборт
5137-N-714427	производство аборт
5137-N-109653	искусственный прерывание беременность
5137-N-119712	прерывание беременность
137886-N-202771	герпес
4658-N-185003	социальный заболевание
4658-N-111844	социальный опасный заболевание
4658-N-111841	социальный значимый заболевание
111256-N-121272	невротический состояние
111256-N-739142	психоневроз
111256-N-107452	невроз
111256-N-118805	невротический срыв
111256-N-120096	невротический расстройство
4952-N-105943	больничный лист
4952-N-715384	лист нетрудоспособность
4952-N-134105	бюллетень
4952-N-195348	больничный листок
4952-N-101089	листок нетрудоспособность
7766-N-702251	врач отоларинголог
7766-N-702250	лора
7766-N-108302	отоларинголог
7766-N-120278	оториноларинголог
121135-N-163591	клептомания
2976-N-105730	лекарственный сырье
2976-N-113601	фармацевтический сырье
2976-N-119473	медицинский сырье
2976-N-105725	лекарственный технический сырье
9808-N-158081	эндоскопия
9808-N-121608	лапароскопия
137126-N-714224	установка катетер
137126-N-199923	введение катетер
137126-N-199922	катетеризация
144605-N-685383	летучий мышь вампир
144605-N-134155	вампир
6004-N-206091	детский паралич
6004-N-109153	лиомиелить
136995-N-196809	депрессанть
136995-N-218080	успокоительный препарат
136995-N-196894	успокаивать средство
136995-N-199382	седативный препарат
136995-N-199381	седативный средство
141542-N-213980	старческий маразм
141542-N-676759	сенильный деменция
141542-N-213979	старческий слабоумие
141542-N-676760	старческий деменция
4211-N-112034	стадион
8492-N-681125	болеутоляющий лекарство
8492-N-196568	обезболивать средство
8492-N-193651	болеутоляющее
8492-N-115418	болеутоляющий средство
8492-N-196569	обезболивать препарат
4277-N-120817	лучевой травма
4277-N-108266	острый облучение
4277-N-106042	лучевой болезнь
108181-N-134125	вазелина
7393-N-119840	артеросклероз
7393-N-124857	артериосклероз
7393-N-124858	атеросклероз
121510-N-164596	вегетарианство
115085-N-133040	аптекарь
115085-N-124355	работник аптека
115085-N-121893	аптечный работник
152995-N-745816	трансплантолог
6041-N-215714	воспаление мозговой оболочка
6041-N-106503	менингить
117261-N-120125	гипс
117261-N-207157	гипсовый повязка
132282-N-184747	электрокардиограф
4684-N-105390	корь
135771-N-732523	провал в память
135771-N-732524	провал память
135771-N-196630	потеря память
135771-N-732525	расстройство память
135771-N-196631	нарушение память
135771-N-194696	амнезия
7860-N-104790	кесарев сечение
7860-N-124960	чревосечений
8635-N-115959	акушер
7495-N-121889	аптечка
7495-N-121917	санитарный сумка
7495-N-121888	походный аптечка
7495-N-213227	аптечка первый помощь
7495-N-106275	медицинский аптечка
8187-N-138926	иглоукалывание
8187-N-167945	иглорефлексотерапия
8187-N-104081	иглотерапия
8187-N-100343	акупунктура
8514-N-115533	психотерапевт
5178-N-110635	реаниматор
5178-N-123101	реаниматолог
134757-N-191925	анатом
148281-N-145380	отжиманий
612-N-103956	здравоохранение
612-N-111525	система здравоохранение
612-N-108376	охрана здоровье
612-N-107902	общественный здравоохранение
612-N-117979	обеспечение здоровье
612-N-121851	медицинский сеть
612-N-117317	здравоохранительный мера
612-N-103900	защита здоровье
10086-N-123405	массажистка
10086-N-123402	массажист
10100-N-142469	морфий
10100-N-122600	морфин
10100-N-188062	алкалоид опий
115371-N-708341	цветочный нектар
115371-N-143509	нектар
115371-N-722857	нектар цветок
117156-N-759100	кувырка
117156-N-760997	кувырка через голова
117156-N-141091	кувырканий
4951-N-119474	медицинский документ
4951-N-106277	медицинский документация
3082-N-191031	рентген
3082-N-725508	рентген установка
3082-N-725507	рентгеноустановка
3082-N-704553	рентгеновский техника
3082-N-725504	рентгенотехник
3082-N-725506	рентгенооборудование
3082-N-704556	рентгеновский устройство
3082-N-725510	рентген аппарат
3082-N-110790	рентгеновский оборудование
3082-N-110788	рентгеновский аппарат
3082-N-725505	рентгеноаппарать
3082-N-124279	рентгеновский установка
3082-N-725501	рентгеноборудование
3082-N-725509	рентген оборудование
3082-N-712268	рентгать аппарат
3082-N-124278	рентгеновский аппаратура
3082-N-725503	рентгенустановка
3082-N-725502	рентгенаппарат
3082-N-673651	рентгеновский система
3082-N-187143	аппаратура рентгеновский
124150-N-136043	глазной болезнь
124150-N-724683	болезнь глаз
126942-N-169506	акробатика
9362-N-119477	антидотный терапия
8763-N-116426	пульмонология
8763-N-118598	фтизиопульмонология
143084-N-671701	искривление спина
143084-N-139382	искривление позвоночник
7390-N-101079	болезнь сердце
7390-N-724936	кардиологический заболевание
7390-N-707709	заболевание сердце
7390-N-709292	сердечный болезнь
7390-N-709293	сердечный заболевание
9337-N-199564	заболевание желудочно-кишечный тракт
9337-N-118923	желудочно-кишечный заболевание
9337-N-209644	заболевание орган пищеварение
9337-N-182524	болезнь орган пищеварение
9337-N-125007	желудочный заболевание
9337-N-140059	кишечный заболевание
9337-N-182151	острый живот
137125-N-199921	катетер
118044-N-725965	расстройство функция
118044-N-725966	расстройство организм
118044-N-732927	функциональный расстройство
118044-N-725964	расстройство функция орган
118044-N-741575	нарушение функция
118044-N-151419	расстройство
118044-N-725963	расстройство орган
137387-N-684731	неизлечить заболевание
137387-N-744037	неизлечить стадия
137387-N-201198	неизлечить болезнь
137387-N-684730	неизлечимость
137387-N-209686	смертельный болезнь
143752-N-677596	сок растение
9075-N-125374	наркологический служба
9075-N-117674	наркологический помощь
611-N-111652	смертность
611-N-111654	смертность население
611-N-214299	число умерший
611-N-122590	летальность
1054-N-104372	инфекционный заболевание
1054-N-101345	карантить болезнь
1054-N-124151	карантинный инфекция
1054-N-121924	эпидемиологический заболевание
1054-N-121927	эпидемический заболевание
1054-N-138380	зараза
1054-N-103858	заразный болезнь
1054-N-104374	инфекция
1054-N-120135	заразный заболевание
1054-N-104371	инфекционный болезнь
10141-N-122688	травматолог
8220-N-111165	санитарный транспорт
109505-N-134981	вошь
144269-N-681197	желтушнодать
144269-N-137579	желтух
144458-N-119688	сдача кровь
144458-N-103356	донорство кровь
149694-N-727925	упражнение мостик
149694-N-142486	мостик
2927-N-213763	медицинский показание
2927-N-164307	показание
110165-N-154736	таблетка
110165-N-147005	пилюль
110165-N-710667	таблеточка
2945-N-110199	профилакторий
9231-N-203410	страбизм
9231-N-118440	косоглазие
115462-N-196871	медицинский диагноз
115462-N-196870	диагноз болезнь
115462-N-136848	диагноз
115462-N-196869	диагноз заболевание
115462-N-707167	диагноз пациент
5905-N-112151	стоматологические заболевание
5905-N-679474	зубной заболевание
5905-N-679473	заболевание зуб
2944-N-111161	санитарный досмотр
111426-N-100974	бинт
150122-N-750131	участковый терапевт
150122-N-730587	участковый врач
2938-N-724653	снабжение лекарство
2938-N-120692	лекарственный обслуживание
2938-N-105726	лекарственный обеспечение
2938-N-213324	обеспечение лекарство
2938-N-724652	снабжение медикаменть
2938-N-724649	обеспечение медикаменть
2938-N-120918	медикаментозный обеспечение
2938-N-724656	лекарственный снабжение
2938-N-121895	лекарственный услуга
9677-N-121896	лекарственный коррекция
9677-N-121808	медикаментозный коррекция
9677-N-105722	лекарственный помощь
9677-N-724956	фармакотерапия
9677-N-120919	медикаментозный терапия
1061-N-121166	лечебный мера
1061-N-120926	медицинский вмешательство
1061-N-102035	восстановление здоровье
1061-N-123577	врачевание
1061-N-116944	лечебный мероприятие
1061-N-105865	лечебный обслуживание
1061-N-121824	лечебный дело
1061-N-122195	врачебный деятельность
1061-N-120777	лечебный работа
1061-N-105872	лечение
1061-N-105850	лечебный деятельность
1061-N-121201	врачебный наблюдение
1061-N-105893	ликвидация болезнь
1061-N-121825	лечебный воздействие
1061-N-120776	лечебный процесс
1061-N-105894	ликвидация заболевание
1061-N-105851	лечебный помощь
1061-N-117301	долечивание
128351-N-683505	прободений стенка
128351-N-176333	прободений
146388-N-112091	стафилококк
146388-N-705475	патогенный стафилококк
146388-N-705476	стафилококковый инфекция
5627-N-102017	воспаление легкий
5627-N-116546	легочный патология
5627-N-108921	пневмония
137388-N-202907	неизлечить пациент
136162-N-195619	сердечный недостаточность
8658-N-115939	наследственный патология
8658-N-115927	наследственный заболевание
8658-N-107277	наследственный генез
8658-N-116965	генетический нарушение
8658-N-118850	генетический порок
8658-N-102069	врождать заболевание
8658-N-120057	наследственный предрасположенность
8658-N-121759	медико-генетический нарушение
117617-N-104130	излечение
117617-N-196152	вылечиваний
117617-N-197570	залечивание
117617-N-203533	излечимость
110114-N-179066	шизофреничка
110114-N-157666	шизофреник
110114-N-199242	шизоид
110114-N-157665	шизик
152582-N-742885	кровоостанавливать средство
126567-N-172880	ксенофобия
9485-N-119943	пиелонефрить
110393-N-685166	психопатический расстройство
110393-N-677854	расстройство личность
110393-N-150493	психопатия
110398-N-669630	истерический невроз
110398-N-721631	истерический расстройство
110398-N-139461	истерия
110398-N-721633	конверсиоть расстройство
135957-N-195068	бег на место
9484-N-119357	инсульт
9484-N-119354	кровоизлияние в мозг
154154-N-120890	кислородный маска
133823-N-188634	перинатальный патология
133823-N-684404	перинатальный заболевание
9873-N-123581	врачебный заключение
9873-N-106315	медицинский заключение
9873-N-121930	эпикриз
110970-N-155310	трепанация
145294-N-691503	легочный болезнь
145294-N-691502	болезнь легкий
145294-N-691504	заболевание легкий
133567-N-188049	синдром укачиваний
133567-N-155867	укачивание
133567-N-188047	вестибуло вегетативный неустойчивость
133567-N-188048	нарушение вестибулярный аппарат
133567-N-188051	расстройство вестибулярный функция
133567-N-755313	укачивание в транспорт
133567-N-188046	болезнь передвижение
113098-N-151368	рассеять склероз
113098-N-691943	множественный склероз
113442-N-102605	госпиталь
113442-N-101881	военный госпиталь
136667-N-167971	психоанализ
142122-N-215751	серийный убийца
9387-N-200108	ринять
9387-N-119543	насморк
145197-N-107919	общество красный крест
145197-N-745231	красный полумесяц
145197-N-211987	комитет красный крест
145197-N-690575	красный крест и красный полумесяц
145197-N-105468	красный крест
145197-N-107920	общество красный крест и красный полумесяц
6518-N-110235	психиатрия
148099-N-716007	препарат валериан
148099-N-716008	препарат корень валериать
137318-N-200912	галлюциноген
7955-N-104456	искусственный сердце
138028-N-203161	калипсол
138028-N-203160	гидрохлорид кетамин
138028-N-203162	кеталар
138028-N-203158	кетамин
138028-N-203159	кетамин гидрохлорид
152015-N-732929	ледовый дворец
152015-N-732931	ледовый комплекс
152015-N-732930	ледовый арена
152015-N-740130	ледовый стадион
5180-N-174287	неотложка
5180-N-173535	карета скорый помощь
5180-N-106225	машина скорый помощь
5180-N-216385	автомобиль скорый помощь
5180-N-179556	скорая
3938-N-110232	психиатрический лечебный заведение
3938-N-110257	психоневрологический учреждение
3938-N-110233	психиатрический лечебный учреждение
3938-N-212063	психиатрический учреждение
118812-N-671672	прогрессирований болезнь
118812-N-149743	прогрессирований
118812-N-671673	прогрессирований заболевание
132005-N-213298	запор кишечник
132005-N-184216	задержка стул
132005-N-138325	запор
145746-N-701164	йогический упражнение
145746-N-172494	йога
145746-N-701162	физический йога
145746-N-701165	гимнастика йог
9483-N-119845	бесплодие
9483-N-159970	бесплодность
141543-N-671781	деменция
141543-N-111573	слабоумие
147980-N-715932	лекарственный средство из растительный сырье
147980-N-715931	препарат растительный происхождение
147980-N-735101	растительный препарат
147980-N-715817	фитопрепарать
147980-N-715934	лекарство растительный происхождение
147980-N-715933	лекарственный средство на основа растительный сырье
8482-N-187699	люэс
8482-N-115397	сифилис
6361-N-100345	акушерско-гинекологический помощь
6361-N-116148	гинекологический помощь
7419-N-677667	туберкулезный диспансер
7419-N-110139	противотуберкулезный диспансер
7419-N-121840	противотуберкулезный учреждение
7419-N-677666	тубдиспансер
7419-N-121841	противотуберкулезный служба
136968-N-122663	сексопатолог
9612-N-685011	искусственный вентиляция
9612-N-685010	искусственный вентиляция легкий
9612-N-120520	искусственный дыхание
134459-N-190687	рассасывание
9867-N-121765	судебный медицина
142975-N-122613	остеохондроз
121981-N-210939	паразитарный организм
121981-N-165571	паразит
8704-N-724933	кардиоревматолочь
8704-N-116190	кардиолог
8704-N-152655	сердечник
143639-N-676991	энцефалопатия
9487-N-119953	склероз
6961-N-123489	дефект зрение
6961-N-120863	снижение зрение
6961-N-107251	нарушение зрение
6961-N-115557	потеря зрение
111429-N-147340	повязка
111429-N-213662	медицинский повязка
127240-N-207799	обход больной
127240-N-207800	обход палата
127240-N-207798	врачебный обход
127240-N-167304	обход
5572-N-123145	судмедэкспертиз
